ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
21179199; 98303222; 10144042; 366210937; -152587890; -18310546; -4700000000; 7200000000; 10100000000; 32686437988;1700000000; 400000000; 800000000; 5008328280; 1999384960; 50.083298662023566; 19.99385878714283
14978027; 98669433; 6872558; 85449218; -457763671; -714111328; -4500000000; 7600000000; 10200000000; 32993142700;1700000000; 400000000; 900000000; 5008328280; 1999384960; 50.083298662023566; 19.99385878714283
8544921; 95703125; 7543945; -238037109; -390625000; -73242187; -4400000000; 7600000000; 10300000000; 32993142700;1700000000; 400000000; 900000000; 5008328280; 1999384950; 50.083298662023566; 19.99385878714283
10668945; 97778320; 5053710; -30517578; -555419921; 219726562; -4300000000; 7500000000; 10400000000; 33017291259;1700000000; 400000000; 1000000000; 5008328280; 1999384950; 50.08330260070913; 19.99385462452052
11254882; 97351074; 3967285; 18310546; -97656250; -567626953; -4300000000; 7600000000; 10400000000; 33049926757;1700000000; 400000000; 1000000000; 5008328330; 1999384950; 50.08330260070913; 19.99385462452052
5273437; 97204589; 5383300; 67138671; 54931640; -97656250; -4200000000; 7500000000; 10500000000; 33075115966;1700000000; 400000000; 1100000000; 5008328330; 1999384950; 50.08329390559651; 19.9938471054638
5322265; 97705078; 6896972; 91552734; 12207031; -18310546; -4200000000; 7500000000; 10500000000; 33075115966;1700000000; 400000000; 1100000000; 5008328380; 1999384920; 50.08329390559651; 19.9938471054638
6420898; 97595214; 5761718; -67138671; -158691406; 12207031; -4100000000; 7600000000; 10500000000; 33165429687;1700000000; 400000000; 1200000000; 5008328380; 1999384920; 50.08329390559651; 19.9938471054638
6726074; 97741699; 5456542; 128173828; 402832031; -48828125; -4100000000; 7600000000; 10600000000; 33165429687;1700000000; 400000000; 1200000000; 5008328419; 1999384939; 50.08329390559651; 19.9938471054638
-3186035; 101489257; 8483886; -1037597656; 1501464843; -842285156; -4100000000; 7300000000; 10600000000; 33067953491;1700000000; 400000000; 1300000000; 5008328419; 1999384939; 50.083282723736474; 19.99383850277948
-9924316; 94665527; 6481933; -872802734; 1800537109; -646972656; -4100000000; 7100000000; 10600000000; 32999505615;1700000000; 400000000; 1300000000; 5008328520; 1999385070; 50.083282723736474; 19.99383850277948
-3503417; 106689453; 17163085; 79345703; -1391601562; 299072265; -3900000000; 7000000000; 10700000000; 33087594604;1700000000; 400000000; 1400000000; 5008328520; 1999385070; 50.08327366368528; 19.993836611844742
