ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-8105468; 97106933; -8483886; -12207031; -24414062; -12207031; 5000000000; -17000000000; 2900000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8166503; 97082519; -8605957; -12207031; -30517578; -6103515; 5000000000; -17000000000; 3000000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8020019; 97058105; -8605957; -12207031; -24414062; -6103515; 5000000000; -17000000000; 3100000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8105468; 97082519; -8593750; -12207031; -30517578; -6103515; 5000000000; -17000000000; 3000000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8007812; 97033691; -8520507; -12207031; -24414062; -12207031; 5000000000; -17000000000; 3100000000; 16351872253;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-7995605; 97045898; -8703613; -6103515; -30517578; -12207031; 5000000000; -17000000000; 3100000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-7995605; 97180175; -8569335; -12207031; -30517578; -12207031; 5000000000; -16900000000; 3100000000; 16351872253;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-7958984; 96960449; -8557128; -12207031; -30517578; -6103515; 5000000000; -17000000000; 3000000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8093261; 97070312; -8642578; -18310546; -30517578; -6103515; 5000000000; -17000000000; 3100000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-7934570; 97131347; -8569335; -12207031; -30517578; -6103515; 5000000000; -16900000000; 3000000000; 16351872253;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-7934570; 97033691; -8593750; -18310546; -30517578; -6103515; 5000000000; -16900000000; 3000000000; 16351872253;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8032226; 97192382; -8605957; -12207031; -24414062; -12207031; 5000000000; -16900000000; 3100000000; 16361045837;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8142089; 97119140; -8654785; -12207031; -30517578; -6103515; 5000000000; -16900000000; 3000000000; 16351872253;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
