ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-7531738; 96325683; -19091796; -67138671; -42724609; -48828125; -1900000000; -400000000; 4700000000; 25811135864;1600000000; 2100000000; 5900000000; 5008339059; 1999341030; 50.08340379222827; 19.993421757321155
-7604980; 95458984; -18640136; -48828125; -67138671; 6103515; -1900000000; -400000000; 4600000000; 25811135864;1600000000; 2100000000; 5900000000; 5008339140; 1999341030; 50.08340379222827; 19.993421757321155
-8422851; 95068359; -17993164; -12207031; 24414062; 30517578; -1900000000; -500000000; 4600000000; 25525643920;1600000000; 2200000000; 0; 5008339140; 1999341030; 50.08340379222827; 19.993421757321155
-7531738; 95971679; -20166015; 12207031; -30517578; 36621093; -1900000000; -500000000; 4600000000; 25525643920;1600000000; 2200000000; 0; 5008339300; 1999340889; 50.08340379222827; 19.993421757321155
-10290527; 95104980; -19482421; 317382812; -170898437; 244140625; -1800000000; -400000000; 4600000000; 25747119140;1600000000; 2200000000; 100000000; 5008339300; 1999340889; 50.08340379222827; 19.993421757321155
-5554199; 95556640; -20483398; 616455078; 244140625; 1794433593; -1900000000; -300000000; 4600000000; 26102737426;1600000000; 2200000000; 100000000; 5008339420; 1999340879; 50.083412665008545; 19.993416492495864
-16589355; 86901855; -19421386; 665283203; -1104736328; -3857421875; -1500000000; -300000000; 4600000000; 25869006347;1600000000; 2200000000; 200000000; 5008339420; 1999340879; 50.083412665008545; 19.993416492495864
-7519531; 96337890; -23583984; 109863281; 1531982421; 4492187500; -1400000000; -200000000; 4600000000; 26642367553;1600000000; 2200000000; 200000000; 5008339520; 1999340849; 50.083412665008545; 19.993416492495864
-11437988; 94067382; -22070312; 1391601562; 537109375; -286865234; -700000000; -800000000; 4700000000; 22118592834;1600000000; 2200000000; 300000000; 5008339520; 1999340849; 50.083412665008545; 19.993416492495864
-15734863; 89135742; -23095703; 36621093; 2703857421; -1190185546; -600000000; -700000000; 4700000000; 22060128784;1600000000; 2200000000; 300000000; 5008339590; 1999340889; 50.083412665008545; 19.993416492495864
769042; 95666503; -17602539; -115966796; -2209472656; -634765625; -1900000000; -400000000; 4500000000; 25811135864;1600000000; 2200000000; 400000000; 5008339590; 1999340889; 50.083412665008545; 19.993416492495864
10791015; 94885253; -32214355; -1611328125; -183105468; 1086425781; -1900000000; -300000000; 4600000000; 26102737426;1600000000; 2200000000; 400000000; 5008339650; 1999340909; 50.083412665008545; 19.993416492495864
-11523437; 92651367; -18322753; -1196289062; -195312500; -683593750; -1400000000; -500000000; 4700000000; 25034617614;1600000000; 2200000000; 500000000; 5008339650; 1999340909; 50.083412665008545; 19.993416492495864
-9899902; 96130371; -19482421; 292968750; -170898437; -12207031; -1400000000; -600000000; 4700000000; 24680140686;1600000000; 2200000000; 500000000; 5008339650; 1999340870; 50.083412665008545; 19.993416492495864
-11047363; 93835449; -17346191; -543212890; -24414062; 415039062; -1300000000; -800000000; 4800000000; 23839250183;1600000000; 2200000000; 600000000; 5008339650; 1999340870; 50.083412665008545; 19.993416492495864
