ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
6164550; 97082519; -1086425; -12207031; -30517578; -24414062; -1200000000; -600000000; 3200000000; 24343496704;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-37475585; 75769042; 11083984; -6823730468; 2575683593; -5120849609; 0; -1500000000; 3600000000; 18000000000;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-32556152; 80310058; 42773437; -1416015625; 1977539062; 5487060546; 400000000; -3900000000; 2100000000; 17414398193;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
8300781; 107617187; -45288085; -1806640625; -17218017578; -10992431640; 400000000; 1000000000; 4000000000; 2180140686;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
70288085; 54077148; 43896484; 7287597656; -13183593750; 5822753906; -1200000000; -3300000000; 2400000000; 19998310852;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-108435058; -1098632; 51184082; -14685058593; -2813720703; 5902099609; 2100000000; -4100000000; 100000000; 15287869262;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
84838867; 44641113; -12402343; 7769775390; -21881103515; -2947998046; -1900000000; -400000000; 3400000000; 25811135864;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-109033203; -36462402; 37854003; -12286376953; -13995361328; 17059326171; 2000000000; -4200000000; -800000000; 15453665161;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
61743164; 50341796; -4980468; 11444091796; -15289306640; -1892089843; -2400000000; -1000000000; 2900000000; 24738012695;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-86828613; -55505371; -55700683; -18109130859; -8276367187; -7220458984; 4200000000; -400000000; -1500000000; 9544032287;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
14001464; -42541503; 85778808; 10980224609; -13433837890; 12097167968; 1800000000; -4100000000; -1400000000; 15629734802;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-15979003; 4418945; -95617675; 384521484; -12188720703; -14855957031; 1500000000; 3400000000; 2200000000; 2380594253;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
39453125; -56420898; 74353027; -7611083984; -20739746093; 24353027343; -200000000; -3400000000; -3400000000; 18336643981;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-81811523; 39477539; -72998046; 12335205078; -14916992187; -19750976562; 3400000000; 1400000000; 1900000000; 6761986541;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
54333496; -60498046; 66027832; 17944335937; -19183349609; 3698730468; 0; -4300000000; -1900000000; 18000000000;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-66760253; -59741210; 5187988; -9735107421; -17999267578; 2856445312; 3000000000; -3000000000; -1900000000; 13500000000;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
73242; 84265136; -67651367; 4620361328; -14276123046; -16442871093; -300000000; 2000000000; 3600000000; 35146923828;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
6152343; -88073730; 95983886; -3009033203; -23803710937; 30651855468; -400000000; -3800000000; -2900000000; 18600900268;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-132568359; 27160644; -72094726; -3790283203; -15454101562; -14685058593; 4300000000; -200000000; 100000000; 9794347381;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
87109375; 71289062; 22802734; 28753662109; -13427734375; -2270507812; -1800000000; -3500000000; 1500000000; 20721611022;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-85009765; -54638671; 22802734; -5181884765; -16162109375; 9069824218; 2400000000; -3800000000; -1500000000; 14772434997;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
-1647949; 68859863; -42297363; 7769775390; -13665771484; -19091796875; 300000000; 600000000; 4100000000; 2656505012;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
79162597; -68359375; 96997070; 4248046875; -10668945312; 17089843750; -300000000; -3900000000; -2700000000; 18439869689;0; 0; 0; 0; 0; 50.09055383875072; 20.001250103467278
