ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-4650878; 97436523; 4003906; -12207031; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4602050; 97424316; 4040527; -6103515; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4699707; 97375488; 4064941; -6103515; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4626464; 97473144; 4150390; -6103515; -30517578; -12207031; 3800000000; -1700000000; -1000000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4663085; 97399902; 4052734; -12207031; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4565429; 97387695; 4052734; -12207031; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4736328; 97497558; 4064941; -6103515; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4650878; 97424316; 4028320; -6103515; -30517578; -12207031; 3800000000; -1700000000; -1000000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4675292; 97424316; 4113769; -6103515; -36621093; -12207031; 3800000000; -1700000000; -1000000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4614257; 97424316; 4064941; -6103515; -30517578; -12207031; 3800000000; -1600000000; -1000000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4626464; 97485351; 4040527; -6103515; -30517578; -12207031; 3800000000; -1600000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4614257; 97448730; 4064941; -6103515; -30517578; -6103515; 3800000000; -1700000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4675292; 97436523; 4125976; -6103515; -30517578; -12207031; 3800000000; -1700000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4638671; 97558593; 4016113; -12207031; -30517578; -12207031; 3800000000; -1700000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4614257; 97375488; 4089355; -6103515; -36621093; -6103515; 3800000000; -1700000000; -1100000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4589843; 97363281; 4077148; -6103515; -30517578; -12207031; 3900000000; -1700000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4577636; 97473144; 4077148; -6103515; -30517578; -12207031; 3800000000; -1700000000; -1100000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4638671; 97473144; 4028320; -6103515; -36621093; -12207031; 3800000000; -1700000000; -1100000000; 11355226135;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4638671; 97485351; 4052734; -6103515; -30517578; -12207031; 3800000000; -1600000000; -1200000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4577636; 97546386; 4003906; -6103515; -30517578; -12207031; 3900000000; -1700000000; -1100000000; 11355226135;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4602050; 97473144; 4089355; -12207031; -30517578; -12207031; 3800000000; -1700000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4699707; 97436523; 4052734; -6103515; -30517578; -12207031; 3800000000; -1700000000; -1200000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4589843; 97485351; 4077148; -12207031; -30517578; -12207031; 3900000000; -1700000000; -1100000000; 11355226135;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4675292; 97436523; 4077148; -12207031; -30517578; -12207031; 3900000000; -1700000000; -1100000000; 11355226135;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4663085; 97375488; 4064941; -12207031; -30517578; -12207031; 3800000000; -1600000000; -1100000000; 11283365631;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-4663085; 97412109; 4089355; -12207031; -30517578; -12207031; 3800000000; -1700000000; -1100000000; 11410223388;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
