ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-2587890; 97644042; -3613281; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2600097; 97619628; -3564453; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8900000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2624511; 97619628; -3686523; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8900000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2648925; 97631835; -3564453; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2575683; 97570800; -3552246; -12207031; -30517578; -18310546; 3900000000; -19100000000; -8800000000; 16845950317;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2612304; 97460937; -3515625; -12207031; -30517578; -18310546; 4000000000; -19000000000; -8800000000; 16811132812;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2746582; 97546386; -3479003; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8900000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2575683; 97436523; -3649902; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2490234; 97583007; -3674316; -12207031; -30517578; -18310546; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2661132; 97448730; -3564453; -12207031; -30517578; -18310546; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2624511; 97473144; -3540039; -6103515; -30517578; -18310546; 3800000000; -19000000000; -8900000000; 16869007873;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2563476; 97509765; -3613281; -12207031; -24414062; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2636718; 97534179; -3576660; -12207031; -30517578; -12207031; 3900000000; -19100000000; -8900000000; 16845950317;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2587890; 97509765; -3588867; -12207031; -30517578; -18310546; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2709960; 97412109; -3503417; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8900000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2661132; 97570800; -3503417; -12207031; -30517578; -18310546; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2722167; 97436523; -3540039; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2709960; 97424316; -3393554; -12207031; -30517578; -18310546; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2636718; 97546386; -3552246; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8900000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2697753; 97534179; -3479003; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2636718; 97521972; -3527832; -12207031; -30517578; -12207031; 3900000000; -19100000000; -8900000000; 16845950317;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2624511; 97485351; -3503417; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2575683; 97509765; -3564453; -6103515; -30517578; -18310546; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2648925; 97473144; -3613281; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8800000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-2648925; 97387695; -3637695; -12207031; -30517578; -12207031; 3900000000; -19000000000; -8900000000; 16840040588;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
